Slovenia;118,132;South Africa;357,364;Slovenia;116,082;Slovenia;126,661;South Africa;421,335;South Africa;455,702;South Africa;525,227;Slovenia;150,32;Slovenia;198,402;South Africa;562,965;South Africa;373,923;Slovenia;211,34;South Africa;373,923;Slovenia;211,34;Slovenia;174,119;Slovenia;130,949;Slovenia;93,734;Slovenia;118,591;Slovenia;133,092;Slovenia;133,702;Slovakia;1001520;Slovenia;209378;South Korea;3950617;Slovenia;141714;SOUTH KOREA;3462404;SPAIN;2219462;TAIWAN;285 962;TAIWAN;275 156
South Africa;317,367;South Korea;3,114,998;South Africa;407,036;South Africa;404,441;South Korea;3,177,870;South Korea;3,469,464;South Korea;3,699,350;South Africa;587,719;South Africa;534,49;South Korea;3,826,682;South Korea;3,512,926;South Africa;472,049;South Korea;3,512,926;South Africa;472,049;South Africa;532,545;South Africa;539,424;South Africa;545,913;South Africa;566,083;South Africa;615,658;South Africa;599,004;Slovenia;189852;South Africa;610854;Spain;2822355;South Africa;447218;SPAIN;2098133;TAIWAN;261263;THAILAND;1 841 663;THAILAND;1 468 997
South Korea;2,843,114;Spain;3,032,874;South Korea;2,946,329;South Korea;3,147,584;Spain;3,029,826;Spain;3,012,174;Spain;2,752,500;South Korea;3,840,102;South Korea;4,086,308;Spain;2,541,644;Spain;2,170,078;South Korea;4,271,741;Spain;2,170,078;South Korea;4,271,741;South Korea;4,657,094;South Korea;4,561,766;South Korea;4,521,429;South Korea;4,524,932;South Korea;4,555,957;South Korea;4,228,509;South Africa;589951;South Korea;4028834;Taiwan;251304;South Korea;3506774;TAIWAN;265320;THAILAND;1883515;TURKEY;1 468 393;TURKEY;1 365 296
Spain;2,852,389;Sweden;301,343;Spain;2,849,888;Spain;2,855,239;Sweden;323,032;Sweden;340,27;Sweden;339,229;Spain;2,777,435;Spain;2,889,703;Sweden;308,299;Sweden;156,436;Spain;2,387,900;Sweden;156,436;Spain;2,387,900;Spain;2,373,329;Spain;1,979,179;Spain;2,163,338;Spain;2,402,978;Spain;2,733,201;Spain;2,885,922;South Korea;4114913;Spain;2819565;Thailand;2013710;Spain;2268185;THAILAND;1685705;TURKEY;1352648;UKRAINE;1 993;UNITED KINGDOM;905 233
Sweden;250,742;Taiwan;372,613;Sweden;289,147;Sweden;276,193;Taiwan;386,686;Taiwan;430,814;Taiwan;446,345;Sweden;333,168;Sweden;366,02;Taiwan;182,974;Taiwan;226,356;Sweden;217,084;Taiwan;226,356;Sweden;217,084;Sweden;188,969;Sweden;162,814;Sweden;161,08;Sweden;154,174;Sweden;188,987;Sweden;205,374;Spain;2848335;Taiwan;253241;Turkey;1461244;Taiwan;245615;TURKEY;1276140;UKRAINE;1490;UNITED KINGDOM;1 025 474;USA;10 562 188
Taiwan;353;Thailand;411,721;Taiwan;271,704;Taiwan;333,699;Thailand;742,062;Thailand;927,981;Thailand;1,122,712;Taiwan;303,221;Taiwan;283,039;Thailand;1,393,742;Thailand;999,378;Taiwan;303,456;Thailand;999,378;Taiwan;303,456;Taiwan;343,296;Taiwan;339,038;Taiwan;338,72;Taiwan;379,223;Taiwan;351,085;Taiwan;309,531;Sweden;226000;Thailand;2167694;Ukraine;7265;Thailand;1427074;UKRAINE;8153;UNITED KINGDOM;876614;USA;10 611 555;UZBEKISTAN;429 364
Thailand;322,761;Turkey;430,947;Thailand;459,418;Thailand;584,951;Turkey;533,354;Turkey;823,408;Turkey;879,452;Thailand;1,194,426;Thailand;1,287,346;Turkey;1,147,110;Turkey;869,605;Thailand;1,644,513;Turkey;869,605;Thailand;1,644,513;Thailand;1,457,798;Thailand;2,429,142;Thailand;2,457,057;Thailand;1,880,587;Thailand;1,915,420;Thailand;1,944,417;Taiwan;291563;Total;95634593;UK;1381405;Total;77621582;UNITED KINGDOM;932488;USA;10060339;UZBEKISTAN;425 876;OTHERS;2 285 328
Turkey;297,862;Ukraine;31,255;Turkey;270,685;Turkey;346,565;Ukraine;107,89;Ukraine;186,89;Ukraine;215,759;Turkey;987,78;Turkey;1,099,413;Ukraine;423,127;Ukraine;69,295;Turkey;1,094,557;Ukraine;69,295;Turkey;1,094,557;Turkey;1,189,131;Turkey;1,072,978;Turkey;1,125,534;Turkey;1,170,445;Total;90,780,583;Turkey;1,485,927;Thailand;1988823;Turkey;1550150;USA;10880019;Turkey;1297878;USA;9167214;UZBEKISTAN;333569;OTHERS;2 006 197;TOTAL;92 504 338
UK;1,973,519;UK;1,813,894;UK;1,685,238;UK;1,823,018;UK;1,846,429;UK;1,856,539;UK;1,803,109;UK;1,648,388;UK;1,750,253;UK;1,649,515;UK;1,090,139;UK;1,393,463;UK;1,090,139;UK;1,393,463;UK;1,463,999;UK;1,576,945;UK;1,597,872;UK;1,598,879;Turkey;1,358,796;UK;1,816,622;Turkey;1695731;UK;1604328;Uzbekistan;271113;Ukraine;4952;UZBEKISTAN;241649;OTHERS;2030138;TOTAL;93 546 599;;
Ukraine;19,18;USA;12,799,857;Ukraine;31,824;Ukraine;53,773;USA;12,114,971;USA;11,989,387;USA;11,946,653;Ukraine;295,26;Ukraine;402,591;USA;8,672,141;USA;5,709,431;Ukraine;83,133;USA;5,709,431;Ukraine;83,133;Ukraine;104,654;Ukraine;76,281;Ukraine;50,449;Ukraine;28,751;UK;1,682,156;Ukraine;5,264;UK;1749385;Ukraine;6623;Others;1108503;United Kingdom;987044;OTHERS;1828944;TOTAL;85016728;;;;
USA;13,024,978;Uzbekistan;32,273;USA;11,424,689;USA;12,279,582;Uzbekistan;46,474;Uzbekistan;80,729;Uzbekistan;95,814;USA;11,263,986;USA;10,780,729;Uzbekistan;208,038;Uzbekistan;117,9;USA;7,743,093;Uzbekistan;117,9;USA;7,743,093;USA;8,661,535;USA;10,335,765;USA;11,066,432;USA;11,660,702;Ukraine;8,244;USA;12,198,137;Ukraine;9542;USA;11314705;Total;91786861;USA;8822399;TOTAL;80145988;;;;;;
Uzbekistan;44,433;Others;190,649;Uzbekistan;41,005;Uzbekistan;29,554;Others;211,753;Others;311,05;Others;495,491;Uzbekistan;110;Uzbekistan;184,9;Supplementary;527,634;Others;407,364;Uzbekistan;156,88;Others;407,364;Uzbekistan;156,88;Uzbekistan;179,56;Uzbekistan;164,18;Uzbekistan;246,641;Uzbekistan;245,66;USA;12,100,095;Uzbekistan;88,152;USA;11189985;Uzbekistan;220667;;;Uzbekistan;280080;;;;;;;;
;;;;;;;;;;;;;;;;;;Total;70,729,696;Total;61,762,324;;;Total;;;;;;Total;84,236,171;Total;87,595,998;Total;89,776,465;Uzbekistan;185,4;Total;94,976,569;Uzbekistan;140247;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Total;97302534;;;;;;;;;;;;;;
